001,Author,lifetime, Title,Publication Year,Number of Pages,press,Questionnaires,Genre ID unclear,Extracted Book Name,delete duplicate
990037564180205171,"אברמוביץ, אתי , ",,"הצצה לחיי /, אתי אברמוביץ.",2013,"253 , 1 עמוד לא ממוספר  ",רובינשטיין ,,,הצצה לחיי  ,
990037564170205171,"אברמוביץ, אתי , ",,"מקופלת /, אתי אברמביץ.",2013,"303 , 4 דפים לא ממוספרים  ",רובינשטיין ,,,מקופלת  ,
990011032430205171,"אברמוביץ, חיים ",,על הלחם לבדו.,1944,208,קדימה ,,,על הלחם לבדו.',
990035884990205171,"אברמי, שירלי , ",,"מטבעות הזיכרון /, שירלי אברמי.",2013,127,ספרי צמרת ,,,מטבעות הזיכרון  ,
997008165629805171,"אברמסון, שלומית , ",,"נחלת עולם /, שלומית אברמסון ; עורכת הספר: נועה מנהיים.",2020,352,זמורה מוציאים לאור ,,,נחלת עולם  ,
990027865090205171,"אברמסקי, יאיר ",,"הדוד מרגוזס ראש ממשלת מוסררוקו  (21 ביוני 2009 - ???) : ממוכר ספרים משומשים לאחד המנהיגים הבולטים של העולם החופשי /, יאיר אברמסקי.",2010,1 כר' (כרך א)  ,י. אברמסקי ,,x,הדוד מרגוזס ראש ממשלת מוסררוקו  (21 ביוני 2009 - ???) : ממוכר ספרים משומשים לאחד המנהיגים הבולטים של העולם החופשי  ,
990044316280205171,"אגם, רונית ","1964- , ","שבויה בין עולמות /, רונית אגם ; עריכה לשונית: רעות יששכר.",2018,237,ספרי ניב ,,,שבויה בין עולמות  ,
990047768020205171,"אגמון, גורן ","1953- , ","היורשת /, גורן אגמון ; עריכה: נירית איטינגון.",2018,101,אור-עם ,,,היורשת  ,
990033751420205171,"אגמון, יאיר ",1987- ,"עם הארץ  סיפור מסע /, יאיר אגמון ; עורכת הספר - עלמה כהן-ורדי.",2011,265,זמורה ביתן ,,,עם הארץ  סיפור מסע  ,
990017289430205171,"אגמון, מרים ",,"מעבר חציה /, מרים אגמון.",1995,123,עקד ,,,מעבר חציה  ,
990036689870205171,"אגרנוב, דבורה ","1934- , ","העגלון ובובת החרסינה /, דבורה אגרנוב לבית עמרם ; עריכה: שרון אלמוג.",2014,127,סטימצקי - הוצאה לאור ,,,העגלון ובובת החרסינה  ,
990037051860205171,"אגרנט, אורלי , ",,"הלמות פרסות /, אורלי אגרנט.",2014,446,סטימצקי - הוצאה לאור ,,,הלמות פרסות  ,
990040503780205171,"אדיבי, אורית , ",,"לאלף חד קרן /, אורית אדיבי ; עריכה ספרותית: גיא עד.",2017,227,מרקם הוצאה לאור ,,,לאלף חד קרן  ,
990032534330205171,"אדיר, ישראל ",1934- ,"חיים חדשים /, ישראל אדיר.",2011,315,י. אדיר ,,,חיים חדשים  ,
990043969730205171,"אדירי, נורית , ",,"הפרויקט הסקוטי /, נורית אדירי.",2017,191,סטימצקי הוצאה לאור ,,,הפרויקט הסקוטי  ,
